Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
258.35074,7.1383777,273.2228,245.05763,48.523809523809526,10344.518,20.981445,10365.499,10323.536,1000.0,0,14.093498468399048,0.15207867,10344.518
324.648,110.38379,713.1423,251.58325,60.294117647058826,10344.518,20.981445,10365.499,10323.536,1000.0,0,16.221784114837646,0.09645719,10344.518
314.9953,72.91668,608.2762,262.94095,57.888888888888886,10344.518,20.981445,10365.499,10323.536,1000.0,0,15.922493696212769,0.05157881,10344.518
304.23264,70.9905,504.5459,233.94545,56.578947368421055,10344.518,20.981445,10365.499,10323.536,1000.0,0,16.2672176361084,0.016175833,10344.518
302.7594,55.672623,521.3266,265.4332,56.833333333333336,10344.518,20.981445,10365.499,10323.536,1000.0,0,18.240610122680664,0.007250382,10344.518
