Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,Initial_DataCollection_AverageReturn
446.92136,135.90752,721.9989,249.39986,77.53846153846153,10344.518,20.981445,10365.499,10323.536,1000.0,0,12.046885013580322,0.069060095,10344.518
314.9953,72.91668,608.2762,262.94095,57.888888888888886,10344.518,20.981445,10365.499,10323.536,1000.0,0,16.599989652633667,0.05157881,10344.518
379.1905,92.90606,600.8995,224.81325,71.57142857142857,10344.518,20.981445,10365.499,10323.536,1000.0,0,20.025599479675293,0.04184918,10344.518
303.42224,49.19172,388.01297,209.93896,55.72222222222222,10344.518,20.981445,10365.499,10323.536,1000.0,0,27.244982719421387,0.040888097,10344.518
276.02264,74.769485,495.21826,151.28041,53.2,10344.518,20.981445,10365.499,10323.536,1000.0,0,29.185161113739014,0.040594764,10344.518
